product,review,label_correct
P6024627767,data/part8\P6024627767\R3347015769\2184895660.jpg,Correct
P6024658730,data/part8\P6024658730\R3341918813\2181969802.jpg,Correct
P6024796310,data/part8\P6024796310\R3399182853\2215442650.jpg,Incorrect
P6024885349,data/part8\P6024885349\R4029702620\3017476280.jpg,Correct
P6024919465,data/part8\P6024919465\R3336704200\2179011450.jpg,Correct
P6024947521,data/part8\P6024947521\R4047561277\3028002380.jpg,Correct
P6024976424,data/part8\P6024976424\R3337545844\2179459599.jpg,Correct
P6025020856,data/part8\P6025020856\R4072553214\3042799466.jpg,Correct
P6025023963,data/part8\P6025023963\R3341195417\2181548880.jpg,Correct
P6025041506,data/part8\P6025041506\R3398347832\2214929879.jpg,Correct
P6025099961,data/part8\P6025099961\R3394068960\2212398515.jpg,Correct
P6025114202,data/part8\P6025114202\R3368926308\2197530812.jpg,Correct
P6025133255,data/part8\P6025133255\R4005976543\3003486178.jpg,Correct
P6025188243,data/part8\P6025188243\R3340924282\2181410694.jpg,Correct
P6025432019,data/part8\P6025432019\R3344656163\2183515035.jpg,Correct
P6025810400,data/part8\P6025810400\R4089196434\3052753104.jpg,Correct
P6025887199,data/part8\P6025887199\R3373724273\2200358601.jpg,Correct
P6025903196,data/part8\P6025903196\R3363264354\2194186542.jpg,Correct
P6025985783,data/part8\P6025985783\R3370636796\2198556258.jpg,Correct
P6026741998,data/part8\P6026741998\R3363498986\2194338561.jpg,Correct
P6027233135,data/part8\P6027233135\R3377881020\2202830287.jpg,Correct
P6027372536,data/part8\P6027372536\R3336862239\2179093981.jpg,Correct
P6027400416,data/part8\P6027400416\R3392474283\2211466973.jpg,Correct
P6027502525,data/part8\P6027502525\R3368750747\2197419498.jpg,Correct
P6027534793,data/part8\P6027534793\R4074913271\3044182154.jpg,Correct
P6027728672,data/part8\P6027728672\R3343589035\2182902008.jpg,Correct
P6027769256,data/part8\P6027769256\R3368838720\2197474939.jpg,Correct
P6027769649,data/part8\P6027769649\R3404532048\2218622632.jpg,Correct
P6027799136,data/part8\P6027799136\R3338372356\2179903851.jpg,Correct
P6027901680,data/part8\P6027901680\R3378564653\2203210618.jpg,Correct
P6028089579,data/part8\P6028089579\R3369646893\2197965130.jpg,Correct
P6028204520,data/part8\P6028204520\R3355497843\2189776561.jpg,Correct
P6028276884,data/part8\P6028276884\R3385528024\2207341197.jpg,Correct
P6028328087,data/part8\P6028328087\R3349236551\2186115796.jpg,Correct
P6028525045,data/part8\P6028525045\R4025885302\3015175496.jpg,Correct
P6028551622,data/part8\P6028551622\R3375752402\2201595312.jpg,Incorrect
P6028557526,data/part8\P6028557526\R3345804715\2184198174.jpg,Correct
P6028664230,data/part8\P6028664230\R3418131774\2226721904.jpg,Correct
P6028777051,data/part8\P6028777051\R3404866667\2218841175.jpg,Correct
P6028906853,data/part8\P6028906853\R3345211178\2183858440.jpg,Correct
P6028944444,data/part8\P6028944444\R3339118441\2180354078.jpg,Incorrect
P6028967694,data/part8\P6028967694\R3338557916\2179998067.jpg,Correct
P6028981943,data/part8\P6028981943\R3365474193\2195526120.jpg,Correct
P6029299104,data/part8\P6029299104\R3367896439\2196887936.jpg,Correct
P6029872080,data/part8\P6029872080\R4011899048\3006973555.jpg,Correct
P6029896272,data/part8\P6029896272\R3370697428\2198595682.jpg,Correct
P6030535095,data/part8\P6030535095\R3407414988\2220370630.jpg,Correct
P6030599722,data/part8\P6030599722\R3360935821\2192866253.jpg,Correct
P6030664504,data/part8\P6030664504\R3411186412\2222612744.jpg,Correct
P6030842189,data/part8\P6030842189\R3341534831\2181756604.jpg,Correct
P6030968153,data/part8\P6030968153\R4085192212\3050329053.jpg,Incorrect
P6031006902,data/part8\P6031006902\R3346018444\2184333781.jpg,Correct
P6031020374,data/part8\P6031020374\R3366540238\2196148140.jpg,Correct
P6031086072,data/part8\P6031086072\R4105861002\3062725403.jpg,Correct
P6031106618,data/part8\P6031106618\R3345688853\2184169514.jpg,Correct
P6031328202,data/part8\P6031328202\R3397099122\2214231043.jpg,Correct
P6031330840,data/part8\P6031330840\R3421771545\2228911540.jpg,Correct
P6031331948,data/part8\P6031331948\R3352582864\2188104654.jpg,Correct
P6031349825,data/part8\P6031349825\R3349302987\2186156957.jpg,Correct
P6031432972,data/part8\P6031432972\R3379655165\2203887971.jpg,Correct
P6031553149,data/part8\P6031553149\R3403628812\2218056307.jpg,Correct
P6031569063,data/part8\P6031569063\R3375770264\2201606996.jpg,Correct
P6031836776,data/part8\P6031836776\R4077997681\3046063031.jpg,Correct
P6031989774,data/part8\P6031989774\R3356757226\2190519162.jpg,Correct
P6032013571,data/part8\P6032013571\R3339297025\2180449188.jpg,Correct
P6032279224,data/part8\P6032279224\R3357907794\2191138721.jpg,Correct
P6032877239,data/part8\P6032877239\R3337493019\2179430345.jpg,Correct
P6033497529,data/part8\P6033497529\R3373847167\2200433590.jpg,Correct
P6033863673,data/part8\P6033863673\R3404508292\2218607619.jpg,Correct
P6033892791,data/part8\P6033892791\R3393779744\2212207027.jpg,Correct
P6034096622,data/part8\P6034096622\R3415972406\2225465173.jpg,Correct
P6034259651,data/part8\P6034259651\R4104710870\3062078948.jpg,Correct
P6034395834,data/part8\P6034395834\R3378613102\2203241004.jpg,Correct
P6034418281,data/part8\P6034418281\R4045379572\3026686307.jpg,Correct
P6034472086,data/part8\P6034472086\R3369108039\2197648437.jpg,Correct
P6034502670,data/part8\P6034502670\R3422322413\2229242958.jpg,Correct
P6034641495,data/part8\P6034641495\R3371606207\2199138571.jpg,Correct
P6034665312,data/part8\P6034665312\R3377744244\2202759391.jpg,Correct
P6034782750,data/part8\P6034782750\R3344321508\2183324743.jpg,Correct
P6034964640,data/part8\P6034964640\R4015058107\3008815772.jpg,Incorrect
P6034964726,data/part8\P6034964726\R4089248405\3052786168.jpg,Correct
P6035049177,data/part8\P6035049177\R4100091651\3059303968.jpg,Correct
P6035450403,data/part8\P6035450403\R3400557136\2216286199.jpg,Correct
P6035464221,data/part8\P6035464221\R3356884707\2190592713.jpg,Incorrect
P6035467799,data/part8\P6035467799\R3341667145\2181836877.jpg,Correct
P6035689870,data/part8\P6035689870\R4012888941\3007542079.jpg,Correct
P6036107326,data/part8\P6036107326\R3348264112\2185601854.jpg,Correct
P6036131017,data/part8\P6036131017\R3358767983\2191572604.jpg,Correct
P6036274501,data/part8\P6036274501\R3394171849\2212455558.jpg,Correct
P6037088063,data/part8\P6037088063\R3385282453\2207181011.jpg,Correct
P6037161600,data/part8\P6037161600\R4028170006\3016556860.jpg,Correct
P6037534051,data/part8\P6037534051\R3352002714\2187764585.jpg,Correct
P6037606605,data/part8\P6037606605\R4087750277\3051852677.jpg,Incorrect
P6037823122,data/part8\P6037823122\R4021879001\3012828816.jpg,Incorrect
P6038153175,data/part8\P6038153175\R3342188629\2182140285.jpg,Correct
P6038341569,data/part8\P6038341569\R3341163059\2181530159.jpg,Incorrect
P6038473758,data/part8\P6038473758\R4001504312\3000863993.jpg,Correct
P6038893651,data/part8\P6038893651\R3357161272\2190741572.jpg,Correct
P6039108133,data/part8\P6039108133\R3352880179\2188267286.jpg,Correct
P6039151021,data/part8\P6039151021\R3350915699\2187122443.jpg,Correct
P6039271670,data/part8\P6039271670\R3373514356\2200242851.jpg,Correct
P6039452663,data/part8\P6039452663\R4114399075\3067887299.jpg,Incorrect
P6039638408,data/part8\P6039638408\R3355403387\2189717628.jpg,Correct
P6039662296,data/part8\P6039662296\R3364467778\2194930705.jpg,Correct
P6039689152,data/part8\P6039689152\R3359425833\2191942185.jpg,Correct
P6039956557,data/part8\P6039956557\R3370334499\2198366437.jpg,Correct
P6039996865,data/part8\P6039996865\R4103984622\3061637482.jpg,Correct
P6040026470,data/part8\P6040026470\R3366310296\2196023048.jpg,Correct
P6040198651,data/part8\P6040198651\R3371278570\2198945203.jpg,Correct
P6040242975,data/part8\P6040242975\R3339962154\2180856630.jpg,Correct
P6040252425,data/part8\P6040252425\R3380728276\2204541635.jpg,Correct
P6040298493,data/part8\P6040298493\R3350673346\2186976700.jpg,Correct
P6040440831,data/part8\P6040440831\R3367402221\2196614863.jpg,Correct
P6041046415,data/part8\P6041046415\R4105189388\3062347856.jpg,Correct
P6041103037,data/part8\P6041103037\R4090309619\3053416076.jpg,Correct
P6041312529,data/part8\P6041312529\R4070676423\3041673918.jpg,Correct
P6041777282,data/part8\P6041777282\R3348961128\2185963947.jpg,Correct
P6041844586,data/part8\P6041844586\R4048431402\3028521207.jpg,Correct
P6041991066,data/part8\P6041991066\R4060275142\3035472807.jpg,Correct
P6042104492,data/part8\P6042104492\R4007814959\3004613908.jpg,Correct
P6042112486,data/part8\P6042112486\R3361633543\2193230934.jpg,Correct
P6042270019,data/part8\P6042270019\R3398007600\2214735442.jpg,Correct
P6042273535,data/part8\P6042273535\R4007513282\3004420559.jpg,Correct
P6042424544,data/part8\P6042424544\R3340465087\2181133793.jpg,Correct
P6042546665,data/part8\P6042546665\R3344456456\2183409078.jpg,Correct
P6042575899,data/part8\P6042575899\R3339766148\2180734404.jpg,Correct
P6042690005,data/part8\P6042690005\R3362422069\2193665732.jpg,Correct
P6042808761,data/part8\P6042808761\R3338914302\2180222155.jpg,Correct
P6042988171,data/part8\P6042988171\R4024566135\3014437736.jpg,Correct
P6043019907,data/part8\P6043019907\R3370857307\2198689795.jpg,Correct
P6043146525,data/part8\P6043146525\R3385699661\2207449467.jpg,Correct
P6043214173,data/part8\P6043214173\R3411773037\2222972539.jpg,Correct
P6043253552,data/part8\P6043253552\R4054452388\3032069947.jpg,Correct
P6043425858,data/part8\P6043425858\R3359548678\2192024334.jpg,Correct
P6043536075,data/part8\P6043536075\R4039765580\3023422880.jpg,Correct
P6043590310,data/part8\P6043590310\R3337174109\2179265137.jpg,Correct
P6043696385,data/part8\P6043696385\R3376388716\2201984719.jpg,Correct
P6043867256,data/part8\P6043867256\R3382119727\2205355192.jpg,Correct
P6043943172,data/part8\P6043943172\R4022280934\3013060081.jpg,Correct
P6043953292,data/part8\P6043953292\R3416946082\2226060098.jpg,Correct
P6044069524,data/part8\P6044069524\R3337412024\2179385255.jpg,Correct
P6044318302,data/part8\P6044318302\R4045733856\3026878921.jpg,Correct
P6044454286,data/part8\P6044454286\R4111756332\3066273642.jpg,Correct
P6044694451,data/part8\P6044694451\R3389070582\2209423423.jpg,Correct
P6044923447,data/part8\P6044923447\R3369256857\2197739216.jpg,Correct
P6044929604,data/part8\P6044929604\R3357028799\2190665467.jpg,Correct
P6044982979,data/part8\P6044982979\R3366322290\2196028931.jpg,Correct
P6045053673,data/part8\P6045053673\R4003660458\3002161399.jpg,Correct
P6045229672,data/part8\P6045229672\R4045473586\3026742527.jpg,Correct
P6045319352,data/part8\P6045319352\R4001183491\3000658086.jpg,Correct
P6045426711,data/part8\P6045426711\R4017540184\3010275950.jpg,Correct
P6045647163,data/part8\P6045647163\R3412135817\2223204740.jpg,Correct
P6045781158,data/part8\P6045781158\R3361758629\2193301915.jpg,Correct
P6046019778,data/part8\P6046019778\R3379630734\2203871878.jpg,Correct
P6046281122,data/part8\P6046281122\R3359989851\2192287979.jpg,Correct
P6046358207,data/part8\P6046358207\R3353881426\2188815753.jpg,Correct
P6047003627,data/part8\P6047003627\R4110989069\3065794353.jpg,Correct
P6047395955,data/part8\P6047395955\R3345326829\2183925315.jpg,Incorrect
P6047408226,data/part8\P6047408226\R3407680962\2220529848.jpg,Correct
P6047855314,data/part8\P6047855314\R3343289685\2182734952.jpg,Correct
P6048301351,data/part8\P6048301351\R4074718786\3044071350.jpg,Correct
P6048301772,data/part8\P6048301772\R3374527495\2200854756.jpg,Correct
P6048356301,data/part8\P6048356301\R3338735655\2180105436.jpg,Correct
P6048500618,data/part8\P6048500618\R3345938116\2184283095.jpg,Correct
P6048511635,data/part8\P6048511635\R3339295699\2180448517.jpg,Correct
P6048519464,data/part8\P6048519464\R3413329150\2223872148.jpg,Correct
P6048562386,data/part8\P6048562386\R3357785397\2191071996.jpg,Correct
P6048600828,data/part8\P6048600828\R3346592867\2184645931.jpg,Correct
P6048626229,data/part8\P6048626229\R3348784499\2185874560.jpg,Correct
P6048630756,data/part8\P6048630756\R3341359863\2181645887.jpg,Correct
P6048813467,data/part8\P6048813467\R3343720683\2182964884.jpg,Correct
P6048868428,data/part8\P6048868428\R3426361347\2231607542.jpg,Correct
P6048975606,data/part8\P6048975606\R4083407962\3049242826.jpg,Correct
P6049090706,data/part8\P6049090706\R3359533974\2192014343.jpg,Correct
P6049249742,data/part8\P6049249742\R3336761352\2179039440.jpg,Correct
P6049425073,data/part8\P6049425073\R3343162917\2182666396.jpg,Correct
P6049583065,data/part8\P6049583065\R3415578836\2225246773.jpg,Correct
P6049692204,data/part8\P6049692204\R3337456571\2179409901.jpg,Correct
P6049898216,data/part8\P6049898216\R3376062067\2201777650.jpg,Correct
P6050100938,data/part8\P6050100938\R3339193430\2180397224.jpg,Correct
P6050136828,data/part8\P6050136828\R3403971460\2218280134.jpg,Correct
P6050292651,data/part8\P6050292651\R3338404262\2179919567.jpg,Correct
P6050298143,data/part8\P6050298143\R4060092217\3035356118.jpg,Correct
P6050384545,data/part8\P6050384545\R4009214945\3005444263.jpg,Correct
P6050480857,data/part8\P6050480857\R3370156548\2198271982.jpg,Correct
P6050482524,data/part8\P6050482524\R3405707346\2219356139.jpg,Correct
P6050894886,data/part8\P6050894886\R3354994860\2189455949.jpg,Correct
P6051163849,data/part8\P6051163849\R3344225076\2183262136.jpg,Correct
P6051167161,data/part8\P6051167161\R3339970967\2180861901.jpg,Correct
P6051220668,data/part8\P6051220668\R3375651786\2201529251.jpg,Correct
P6051347591,data/part8\P6051347591\R4052102149\3030677150.jpg,Incorrect
P6051434659,data/part8\P6051434659\R3347414087\2185134797.jpg,Correct
P6051451381,data/part8\P6051451381\R3350193095\2186697187.jpg,Correct
P6051660669,data/part8\P6051660669\R4104221170\3061787889.jpg,Correct
P6051817286,data/part8\P6051817286\R3362602900\2193785052.jpg,Correct
P6051886691,data/part8\P6051886691\R3371153767\2198863008.jpg,Correct
P6052008285,data/part8\P6052008285\R3345797860\2184193813.jpg,Correct
P6052065630,data/part8\P6052065630\R4004268554\3002532528.jpg,Correct
P6052110062,data/part8\P6052110062\R3343355039\2182770746.jpg,Correct
P6053026956,data/part8\P6053026956\R3377682786\2202723926.jpg,Correct
P6053506451,data/part8\P6053506451\R3431459858\2234642609.jpg,Correct
P6053526231,data/part8\P6053526231\R4064511757\3037962481.jpg,Correct
P6053740248,data/part8\P6053740248\R3419726236\2227683896.jpg,Correct
P6053834112,data/part8\P6053834112\R4095519378\3056561037.jpg,Correct
P6054077693,data/part8\P6054077693\R4002696509\3001581673.jpg,Correct
P6054106284,data/part8\P6054106284\R3349907946\2186520758.jpg,Correct
P6054108020,data/part8\P6054108020\R3345582069\2184061253.jpg,Correct
P6054200417,data/part8\P6054200417\R4094188961\3055751406.jpg,Correct
P6054277432,data/part8\P6054277432\R3352297393\2187923743.jpg,Correct
P6054418314,data/part8\P6054418314\R3343906893\2183061021.jpg,Correct
